MAJ   ; Latitude ; Longitude 
MURS ET GELIGNIEUX ;45.633333;5.666667
NANTUA   ;46.15;5.616667
NAPT   ;46.2;5.5
NATTAGES   ;45.733333;5.766667
NEUVILLE LES DAMES ;46.166667;5
NEUVILLE SUR AIN ;46.083333;5.366667
LES NEYROLLES  ;46.133333;5.633333
NIEVROZ   ;45.833333;5.066667
NIVOLLET MONTGRIFFON  ;45.983333;5.433333
OCHIAZ   ;46.116667;5.783333
ONCIEU   ;45.95;5.466667
ORDONNAZ   ;45.833333;5.533333
ORNEX   ;46.283333;6.1
OUTRIAZ   ;46.066667;5.55
OYONNAX   ;46.25;5.666667
OZAN   ;46.383333;4.916667
PARCIEUX   ;45.916667;4.816667
PARVES   ;45.75;5.75
PASSIN   ;45.933333;5.7
PERON   ;46.2;5.933333
PERONNAS   ;46.183333;5.2
PEROUGES   ;45.9;5.183333
PERREX   ;46.233333;4.983333
LE PETIT ABERGEMENT ;46.033333;5.65
PEYRIAT   ;46.15;5.516667
PEYZIEUX SUR SAONE ;46.116667;4.816667
PIRAJOUX   ;46.383333;5.3
PIZAY   ;45.883333;5.083333
PLAGNE   ;46.183333;5.733333
LE PLANTAY  ;46.016667;5.083333
LE POIZAT  ;46.15;5.7
POLLIAT   ;46.25;5.133333
POLLIEU   ;45.8;5.75
PONCIN   ;46.083333;5.4
PONT D AIN ;46.05;5.333333
PONT DE VAUX ;46.433333;4.933333
PONT DE VEYLE ;46.266667;4.883333
PORT   ;46.166667;5.566667
POUGNY   ;46.133333;5.95
POUILLAT   ;46.333333;5.433333
PREMEYZEL   ;45.683333;5.65
PREMILLIEU   ;45.866667;5.566667
PRESSIAT   ;46.333333;5.383333
PREVESSIN MOENS  ;46.25;6.083333
PRIAY   ;46;5.283333
PUGIEU   ;45.816667;5.65
RAMASSE   ;46.2;5.35
RANCE   ;45.966667;4.866667
RELEVANT   ;46.083333;4.95
REPLONGES   ;46.3;4.883333
REVONNAS   ;46.166667;5.333333
REYRIEUX   ;45.933333;4.816667
REYSSOUZE   ;46.433333;4.916667
RIGNAT   ;46.15;5.366667
RIGNIEUX LE FRANC ;45.933333;5.183333
ROMANECHE   ;46.183333;5.433333
ROMANS   ;46.116667;5.033333
ROSSILLON   ;45.833333;5.6
RUFFIEU   ;46;5.666667
SAINT ALBAN  ;46.1;5.45
SAINT ANDRE DE BAGE;46.3;4.916667
SAINT ANDRE DE CORCY;45.916667;4.95
SAINT ANDRE D HUIRIAT;46.216667;4.916667
SAINT ANDRE LE BOUCHOUX;46.116667;5.083333
SAINT ANDRE SUR VIEUX;46.15;5.066667
SAINT BENIGNE  ;46.433333;4.966667
SAINT BENOIT  ;45.7;5.583333
SAINT BOIS  ;45.7;5.633333
SAINT CHAMP CHATONOD ;45.783333;5.733333
SAINT CYR SUR MENTHON;46.266667;4.983333
SAINT DENIS LES BOURG;46.2;5.2
SAINT DENIS EN BUGEY;45.95;5.333333
SAINT DIDIER D AUSSIAT;46.3;5.066667
SAINT DIDIER DE FORMANS;45.95;4.783333
SAINT DIDIER SUR CHALARONNE;46.166667;4.816667
SAINT ELOI  ;45.933333;5.15
SAINT ETIENNE DU BOIS;46.283333;5.283333
SAINT ETIENNE SUR CHALARONNE;46.15;4.866667
SAINT ETIENNE SUR REYSSOUZE;46.4;5
SAINTE EUPHEMIE  ;45.966667;4.783333
SAINT GENIS POUILLY ;46.25;6.016667
SAINT GENIS SUR MENTHON;46.283333;5.016667
SAINT GEORGES SUR RENON;46.1;5.033333
SAINT GERMAIN DE JOUX;46.183333;5.733333
SAINT GERMAIN LES PAROISSES;45.766667;5.616667
SAINT GERMAIN SUR RENON;46.083333;5.05
SAINT JEAN DE GONVILLE;46.216667;5.95
SAINT JEAN DE NIOST;45.833333;5.216667
SAINT JEAN DE THURIGNEUX;45.95;4.883333
SAINT JEAN SUR REYSSOUZE;46.4;5.066667
SAINT JEAN SUR VEYLE;46.25;4.916667
SAINTE JULIE  ;45.883333;5.283333
SAINT JULIEN SUR REYSSOUZE;46.4;5.116667
SAINT JULIEN SUR VEYLE;46.2;4.95
SAINT LAURENT SUR SAONE;46.3;4.833333
SAINT MARTIN DE BAVEL;45.85;5.683333
SAINT MARTIN DU FRENE;46.133333;5.55
SAINT MARTIN DU MONT;46.1;5.333333
SAINT MARTIN LE CHATEL;46.283333;5.116667
SAINT MAURICE DE BEYNOST;45.833333;4.966667
SAINT MAURICE DE GOURDANS;45.816667;5.2
SAINT MAURICE DE REMENS;45.95;5.283333
SAINT NIZIER LE BOUCHOUX;46.45;5.15
SAINT NIZIER LE DESERT;46.05;5.15
SAINTE OLIVE  ;46.016667;4.933333
SAINT PAUL DE VARAX;46.1;5.133333
SAINT RAMBERT EN BUGEY;45.95;5.433333
SAINT REMY  ;46.183333;5.166667
SAINT SORLIN EN BUGEY;45.883333;5.366667
SAINT TRIVIER DE COURTES;46.466667;5.083333
SAINT TRIVIER SUR MOIGNANS;46.066667;4.9
SAINT VULBAS  ;45.833333;5.283333
SALAVRE   ;46.366667;5.35
